Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-05 00:00:00+05:30,572.5750632521882,572.5750632521882,545.0102164571082,552.5059204101562,23260127,0.0,0.0
2021-04-06 00:00:00+05:30,555.8427209368261,559.5180219799895,545.8807005455731,547.3314819335938,23284697,0.0,0.0
2021-04-07 00:00:00+05:30,547.9601054160856,560.968790025758,541.0447497171314,558.6959228515625,23984399,0.0,0.0
2021-04-08 00:00:00+05:30,562.9031204765378,566.6267687086387,554.4885774876686,557.7770385742188,19262565,0.0,0.0
2021-04-09 00:00:00+05:30,555.1173471325743,560.001632814362,546.4610061141875,547.6216430664062,23239564,0.0,0.0
2021-04-12 00:00:00+05:30,533.3073031902685,533.8392446006219,513.7217529337577,520.87890625,26601702,0.0,0.0
2021-04-13 00:00:00+05:30,523.2485286128166,545.3003956462012,520.2018638443274,542.2053833007812,25445897,0.0,0.0
2021-04-15 00:00:00+05:30,547.3798090534764,557.8254228504287,535.9670077006499,556.3262939453125,37614884,0.0,0.0
2021-04-16 00:00:00+05:30,555.7458722290455,558.7925362386476,545.5904042402859,548.346923828125,24045008,0.0,0.0
2021-04-19 00:00:00+05:30,531.9532209552256,543.8496175446431,516.8651168465667,541.38330078125,28526176,0.0,0.0
2021-04-20 00:00:00+05:30,546.6543958688338,553.8599546697744,534.4677977473423,540.7545166015625,24425842,0.0,0.0
2021-04-22 00:00:00+05:30,533.8875538970873,561.5490955766029,528.9549207621035,560.195068359375,34942633,0.0,0.0
2021-04-23 00:00:00+05:30,551.2002486168636,561.45241378269,548.4437284785654,551.2485961914062,33749097,0.0,0.0
2021-04-26 00:00:00+05:30,582.2469587226377,585.6321154593971,568.7063317755996,571.70458984375,62584522,0.0,0.0
2021-04-27 00:00:00+05:30,573.7840448494992,582.198588792846,571.7045678923548,579.1035766601562,24239685,0.0,0.0
2021-04-28 00:00:00+05:30,578.3780513895703,602.3642865303434,578.3780513895703,600.9618530273438,33292864,0.0,0.0
2021-04-29 00:00:00+05:30,602.122659657412,607.8290904049785,589.0172788073507,601.0587768554688,34537860,0.0,0.0
2021-04-30 00:00:00+05:30,590.0811197457465,596.1260421289493,578.4748687699971,580.796142578125,23653258,0.0,0.0
2021-05-03 00:00:00+05:30,573.1069898029775,579.2002597619761,568.2227043212583,577.169189453125,18010557,0.0,0.0
2021-05-04 00:00:00+05:30,577.0725238825328,588.0500798858435,569.6735148894109,572.1398315429688,15115127,0.0,0.0
2021-05-05 00:00:00+05:30,575.7667837009259,584.9550661758469,565.5146184471512,583.0206909179688,17253943,0.0,0.0
2021-05-06 00:00:00+05:30,583.0206329483368,590.8064807806612,579.5871290134854,588.2434692382812,16949763,0.0,0.0
2021-05-07 00:00:00+05:30,591.9187467313366,594.6268599098939,583.8911023321544,587.1795043945312,10941083,0.0,0.0
2021-05-10 00:00:00+05:30,590.951574662244,596.7546997816768,590.951574662244,593.1277465820312,12060808,0.0,0.0
2021-05-11 00:00:00+05:30,586.5024839749,592.7892023000195,583.4558199428291,589.8392333984375,13818480,0.0,0.0
2021-05-12 00:00:00+05:30,583.4075489478822,586.744357841801,573.7356733321429,575.2348022460938,14785569,0.0,0.0
2021-05-14 00:00:00+05:30,572.5749681463511,582.1984950424604,571.7044758318025,577.7010498046875,12675754,0.0,0.0
2021-05-17 00:00:00+05:30,583.4558208122844,604.0085538288796,581.4730983748178,603.1380615234375,20453101,0.0,0.0
2021-05-18 00:00:00+05:30,607.3938303020267,614.6477375110477,605.4594550462878,612.4232177734375,19242627,0.0,0.0
2021-05-19 00:00:00+05:30,606.5233143390998,613.1969323259727,602.8963608750266,604.927490234375,13911576,0.0,0.0
2021-05-20 00:00:00+05:30,607.4420570959514,612.1329515778713,596.4161557500477,598.3021240234375,13900762,0.0,0.0
2021-05-21 00:00:00+05:30,601.8808360468204,622.8204713519477,601.8808360468204,621.3696899414062,23975898,0.0,0.0
2021-05-24 00:00:00+05:30,622.1433804124802,632.0087050525594,617.0656458657791,626.1088256835938,20323003,0.0,0.0
2021-05-25 00:00:00+05:30,628.768647837575,630.6063279276439,621.418045542195,628.9620971679688,14884778,0.0,0.0
