Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-04-05 00:00:00+05:30,298.8187840149812,301.263223642784,291.3358428459917,292.0841369628906,6066,0.0,0.0
2021-04-06 00:00:00+05:30,290.08870552889346,301.113560748059,288.3925599037137,297.0727844238281,8714,0.0,0.0
2021-04-07 00:00:00+05:30,296.6237974486786,299.76665732799324,291.0365586591587,293.7803039550781,5832,0.0,0.0
2021-04-08 00:00:00+05:30,296.92315865616973,297.0229373105103,291.33588894297185,293.6306457519531,4713,0.0,0.0
2021-04-09 00:00:00+05:30,290.4379308362152,298.71904121069747,290.3880262868694,293.88006591796875,4041,0.0,0.0
2021-04-12 00:00:00+05:30,291.3358798976735,292.83246832180544,277.6171526764646,285.2996520996094,18164,0.0,0.0
2021-04-13 00:00:00+05:30,285.29964449911444,298.27007716272,278.61487087014257,294.2791748046875,23472,0.0,0.0
2021-04-15 00:00:00+05:30,294.3290594042692,294.3290594042692,287.29510592658755,290.3880310058594,51646,0.0,0.0
2021-04-16 00:00:00+05:30,292.03430783879503,294.22928598414285,285.9481753278316,291.0864562988281,113104,0.0,0.0
2021-04-19 00:00:00+05:30,289.34045734936757,289.34045734936757,279.3133260929084,284.4017028808594,14915,0.0,0.0
2021-04-20 00:00:00+05:30,282.35633824052843,293.58075097977206,282.35633824052843,285.549072265625,8190,0.0,0.0
2021-04-22 00:00:00+05:30,279.91186980605295,286.4469899355966,279.4629116112436,282.25653076171875,9101,0.0,0.0
2021-04-23 00:00:00+05:30,279.86202174226594,288.34268906778914,279.8121476431477,285.1998596191406,5331,0.0,0.0
2021-04-26 00:00:00+05:30,282.95499718023217,292.58304350253144,282.95499718023217,288.5422668457031,6306,0.0,0.0
2021-04-27 00:00:00+05:30,290.2383401919248,292.3335698195135,285.59892273322777,288.7916564941406,9700,0.0,0.0
2021-04-28 00:00:00+05:30,288.9912344737999,295.32679857336956,282.9051017919442,286.84613037109375,9546,0.0,0.0
2021-04-29 00:00:00+05:30,288.0433978148552,289.2905548361385,284.3518008525889,284.7508850097656,2108,0.0,0.0
2021-04-30 00:00:00+05:30,283.6034960190405,286.09780996819654,281.8076021549155,283.9028015136719,9326,0.0,0.0
2021-05-03 00:00:00+05:30,280.90960595037967,288.2927991036539,279.4130176811754,283.1046142578125,114601,0.0,0.0
2021-05-04 00:00:00+05:30,283.15450910979513,286.3472431640625,279.3631640625,280.6103210449219,53472,0.0,0.0
2021-05-05 00:00:00+05:30,285.8483718358819,294.32903906312447,285.3495090578088,291.78485107421875,20434,0.0,0.0
2021-05-06 00:00:00+05:30,294.27917457378885,298.12039373184626,286.9957595071931,289.53997802734375,9029,0.0,0.0
2021-05-07 00:00:00+05:30,289.5898423699389,296.3244898669142,286.8460970933934,292.3335876464844,13896,0.0,0.0
2021-05-10 00:00:00+05:30,296.27461718034374,296.27461718034374,288.9413282257231,289.58984375,11060,0.0,0.0
2021-05-11 00:00:00+05:30,289.3404178112948,292.03428905294317,287.7939553436397,289.739501953125,13226,0.0,0.0
2021-05-12 00:00:00+05:30,289.7395161247833,291.8846201341886,287.04567519954287,289.2905578613281,9429,0.0,0.0
2021-05-14 00:00:00+05:30,294.32902101318575,294.32902101318575,282.45609371279545,288.2428894042969,39874,0.0,0.0
2021-05-17 00:00:00+05:30,289.3902976846451,291.03656928081324,289.090992184343,289.3404235839844,7059,0.0,0.0
2021-05-18 00:00:00+05:30,289.93904831739763,293.1317517798423,288.2928072643063,289.440185546875,32741,0.0,0.0
2021-05-19 00:00:00+05:30,285.3494929483492,293.33129694690444,285.3494929483492,291.3358459472656,13564,0.0,0.0
2021-05-20 00:00:00+05:30,291.1362881928274,293.5308537470181,289.3403944753502,292.433349609375,14525,0.0,0.0
2021-05-21 00:00:00+05:30,297.3222161182505,301.3131183480256,290.33813721614393,296.5240478515625,53902,0.0,0.0
2021-05-24 00:00:00+05:30,302.01154370668206,304.0568689559949,296.32449575038714,302.5104064941406,51815,0.0,0.0
2021-05-25 00:00:00+05:30,307.8981309411841,307.8981309411841,303.15893426897134,305.3539123535156,12438,0.0,0.0
2021-05-26 00:00:00+05:30,309.14530093426515,310.79154217880443,303.55803116501204,307.0999450683594,12867,0.0,0.0
2021-05-27 00:00:00+05:30,311.7892302548023,311.7892302548023,304.6554987562059,309.145263671875,9335,0.0,0.0
2021-05-28 00:00:00+05:30,310.89130334546155,311.73937619590237,304.30630828956185,308.2972106933594,10371,0.0,0.0
