Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-02 00:00:00+05:30,54141.6484375,54141.6484375,53823.55078125,54096.94921875,22400,0.0,0.0
2024-04-03 00:00:00+05:30,54056.19921875,54101.6015625,53522.8984375,53866.69921875,26500,0.0,0.0
2024-04-04 00:00:00+05:30,54072.94921875,54116.0,53502.8984375,53634.44921875,42300,0.0,0.0
2024-04-05 00:00:00+05:30,53718.19921875,54094.5,53569.6484375,53925.94921875,36300,0.0,0.0
2024-04-08 00:00:00+05:30,54100.25,54228.8984375,53902.44921875,53966.05078125,25900,0.0,0.0
2024-04-09 00:00:00+05:30,54081.1015625,54091.3515625,53552.6484375,53629.3515625,19300,0.0,0.0
2024-04-10 00:00:00+05:30,53869.6015625,54370.5,53601.3515625,54290.8984375,31600,0.0,0.0
2024-04-12 00:00:00+05:30,54244.44921875,54275.6015625,53653.44921875,53701.3984375,39500,0.0,0.0
2024-04-15 00:00:00+05:30,53299.05078125,53475.1484375,52778.75,53174.94921875,29900,0.0,0.0
2024-04-16 00:00:00+05:30,52996.55078125,53526.75,52937.25,53402.25,26600,0.0,0.0
2024-04-18 00:00:00+05:30,53482.8984375,53571.75,52719.69921875,52825.5,43100,0.0,0.0
2024-04-19 00:00:00+05:30,52530.0,53229.75,52398.75,53055.44921875,31600,0.0,0.0
2024-04-22 00:00:00+05:30,53318.8984375,53594.6015625,53128.19921875,53499.44921875,25600,0.0,0.0
2024-04-23 00:00:00+05:30,53622.0,54037.94921875,53523.44921875,53905.30078125,25500,0.0,0.0
2024-04-24 00:00:00+05:30,53755.3515625,54033.94921875,53731.6015625,53932.5,24800,0.0,0.0
2024-04-25 00:00:00+05:30,53998.44921875,54358.19921875,53642.05078125,54291.6484375,52200,0.0,0.0
2024-04-26 00:00:00+05:30,54441.5,54601.6015625,54119.75,54300.75,30700,0.0,0.0
2024-04-29 00:00:00+05:30,54527.1484375,54557.25,54125.5,54332.1484375,30300,0.0,0.0
2024-04-30 00:00:00+05:30,54519.5,54670.30078125,54181.94921875,54240.6015625,28600,0.0,0.0
2024-05-02 00:00:00+05:30,54155.1484375,54757.3515625,54154.8984375,54490.55078125,44700,0.0,0.0
2024-05-03 00:00:00+05:30,54688.8515625,54702.55078125,53913.30078125,54273.8984375,44000,0.0,0.0
2024-05-06 00:00:00+05:30,54544.1484375,54697.69921875,54149.5,54660.1484375,29300,0.0,0.0
2024-05-07 00:00:00+05:30,54942.6015625,56222.75,54855.80078125,55765.55078125,102900,0.0,0.0
2024-05-08 00:00:00+05:30,55704.30078125,56124.30078125,55569.69921875,56008.80078125,36600,0.0,0.0
2024-05-09 00:00:00+05:30,55924.6015625,56020.3515625,54533.44921875,54625.1015625,44700,0.0,0.0
2024-05-10 00:00:00+05:30,54739.25,55407.1015625,54601.75,55276.5,27400,0.0,0.0
