Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-02 00:00:00+05:30,39503.5,39807.25,39405.69921875,39693.75,1047400,0.0,0.0
2024-04-03 00:00:00+05:30,39679.80078125,39826.05078125,39562.3515625,39704.55078125,1081800,0.0,0.0
2024-04-04 00:00:00+05:30,40023.80078125,40099.25,39270.69921875,39530.3515625,1439900,0.0,0.0
2024-04-05 00:00:00+05:30,39534.55078125,39581.3515625,39157.3984375,39451.55078125,874100,0.0,0.0
2024-04-08 00:00:00+05:30,39649.19921875,40025.30078125,39637.44921875,39951.25,767200,0.0,0.0
2024-04-09 00:00:00+05:30,40065.80078125,40092.6484375,39602.6484375,39693.44921875,932300,0.0,0.0
2024-04-10 00:00:00+05:30,39785.69921875,40248.30078125,39785.69921875,40120.1015625,1099700,0.0,0.0
2024-04-12 00:00:00+05:30,40058.6015625,40437.75,39714.30078125,39756.0,1470400,0.0,0.0
2024-04-15 00:00:00+05:30,39232.8984375,40017.0,38876.8984375,39629.25,1937600,0.0,0.0
2024-04-16 00:00:00+05:30,39426.69921875,39900.19921875,39298.25,39712.75,1546900,0.0,0.0
2024-04-18 00:00:00+05:30,40094.94921875,40275.55078125,39244.5,39359.55078125,1934300,0.0,0.0
2024-04-19 00:00:00+05:30,38987.55078125,39501.8984375,38726.8515625,39357.8515625,1383400,0.0,0.0
2024-04-22 00:00:00+05:30,39712.25,39727.8984375,39458.6015625,39570.05078125,1190300,0.0,0.0
2024-04-23 00:00:00+05:30,39721.55078125,39853.0,39392.05078125,39446.6015625,837900,0.0,0.0
2024-04-24 00:00:00+05:30,39585.25,39770.3515625,39498.0,39561.8515625,810300,0.0,0.0
2024-04-25 00:00:00+05:30,39520.3515625,40059.19921875,39459.05078125,39989.25,1083200,0.0,0.0
2024-04-26 00:00:00+05:30,40111.19921875,40208.3515625,39902.8515625,39968.30078125,885000,0.0,0.0
2024-04-29 00:00:00+05:30,40116.3515625,40387.30078125,40059.6015625,40352.1015625,1164800,0.0,0.0
2024-04-30 00:00:00+05:30,40537.19921875,40771.3515625,40311.3515625,40366.69921875,1705700,0.0,0.0
2024-05-02 00:00:00+05:30,40490.75,40971.1015625,40383.8515625,40801.1015625,2058700,0.0,0.0
2024-05-03 00:00:00+05:30,40973.75,41244.55078125,40122.1484375,40571.05078125,1983800,0.0,0.0
2024-05-06 00:00:00+05:30,40689.8984375,40736.80078125,39702.6484375,39882.1015625,1411400,0.0,0.0
2024-05-07 00:00:00+05:30,39976.1015625,40021.3515625,38916.8515625,39035.25,1260400,0.0,0.0
2024-05-08 00:00:00+05:30,38911.3984375,39918.5,38911.3984375,39635.1015625,1146800,0.0,0.0
2024-05-09 00:00:00+05:30,39622.1015625,39742.8984375,38367.6484375,38458.0,1228300,0.0,0.0
2024-05-10 00:00:00+05:30,38687.25,39137.6015625,38504.3984375,39089.44921875,1165100,0.0,0.0
2024-05-13 00:00:00+05:30,39092.8984375,39148.80078125,38132.75,38868.1484375,1143800,0.0,0.0
2024-05-14 00:00:00+05:30,38939.5,39543.94921875,38924.19921875,39494.19921875,875600,0.0,0.0
2024-05-15 00:00:00+05:30,39617.19921875,40075.30078125,39563.94921875,39949.55078125,1023800,0.0,0.0
2024-05-16 00:00:00+05:30,40122.6015625,40146.55078125,39422.8515625,40076.6015625,1302500,0.0,0.0
2024-05-17 00:00:00+05:30,40118.8515625,40368.19921875,39976.05078125,40302.5,746300,0.0,0.0
2024-05-21 00:00:00+05:30,40307.69921875,41190.55078125,40305.3984375,40971.05078125,1346400,0.0,0.0
2024-05-22 00:00:00+05:30,41204.3984375,41397.8984375,40946.8984375,41331.55078125,1210400,0.0,0.0
2024-05-23 00:00:00+05:30,41318.44921875,41625.8984375,41088.5,41559.25,1300500,0.0,0.0
2024-05-24 00:00:00+05:30,41536.6015625,41876.94921875,41413.25,41634.6484375,960900,0.0,0.0
2024-05-27 00:00:00+05:30,41842.6484375,41854.30078125,41114.19921875,41292.6484375,975500,0.0,0.0
2024-05-28 00:00:00+05:30,41445.75,41508.3515625,40705.44921875,40794.8515625,701600,0.0,0.0
2024-05-29 00:00:00+05:30,40471.1484375,40834.0,40410.6015625,40572.19921875,812400,0.0,0.0
2024-05-30 00:00:00+05:30,40471.19921875,40558.0,39801.8984375,39986.8515625,994700,0.0,0.0
2024-05-31 00:00:00+05:30,40210.25,40476.69921875,39922.25,40255.5,1910500,0.0,0.0
