Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-02 00:00:00+05:30,34900.1484375,34984.3515625,34769.8984375,34793.94921875,17500,0.0,0.0
2024-04-03 00:00:00+05:30,34682.6015625,35289.69921875,34626.19921875,35047.3984375,27300,0.0,0.0
2024-04-04 00:00:00+05:30,35314.69921875,35649.6015625,34915.1484375,35426.69921875,31100,0.0,0.0
2024-04-05 00:00:00+05:30,35331.80078125,35371.1015625,35146.5,35247.8984375,15000,0.0,0.0
2024-04-08 00:00:00+05:30,35381.0,35429.94921875,35018.6015625,35064.1484375,27200,0.0,0.0
2024-04-09 00:00:00+05:30,35241.8984375,35568.80078125,35002.80078125,35079.3515625,24200,0.0,0.0
2024-04-10 00:00:00+05:30,35191.1484375,35350.6015625,34952.25,35293.1484375,19200,0.0,0.0
2024-04-12 00:00:00+05:30,35222.55078125,35363.6015625,34980.8515625,35018.1015625,31900,0.0,0.0
2024-04-15 00:00:00+05:30,34845.80078125,35188.1484375,34335.1484375,34463.6015625,26100,0.0,0.0
2024-04-16 00:00:00+05:30,34108.6015625,34175.6015625,33504.3515625,33574.94921875,37500,0.0,0.0
2024-04-18 00:00:00+05:30,33746.3984375,34102.1484375,33445.3515625,33498.6484375,47200,0.0,0.0
2024-04-19 00:00:00+05:30,33047.3515625,33538.55078125,32915.5,33368.30078125,43300,0.0,0.0
2024-04-22 00:00:00+05:30,33488.75,33627.55078125,33341.6484375,33538.80078125,25300,0.0,0.0
2024-04-23 00:00:00+05:30,33752.8515625,33803.8515625,33614.25,33714.55078125,18900,0.0,0.0
2024-04-24 00:00:00+05:30,33829.55078125,33840.1015625,33393.6484375,33442.55078125,13400,0.0,0.0
2024-04-25 00:00:00+05:30,33283.44921875,33659.44921875,33283.44921875,33554.44921875,29000,0.0,0.0
2024-04-26 00:00:00+05:30,33743.1015625,34307.44921875,33574.6015625,33666.25,51300,0.0,0.0
2024-04-29 00:00:00+05:30,33640.75,33792.8515625,33527.05078125,33579.3984375,28000,0.0,0.0
2024-04-30 00:00:00+05:30,33547.69921875,33688.94921875,33145.8984375,33200.94921875,25700,0.0,0.0
2024-05-02 00:00:00+05:30,33059.30078125,33332.19921875,33059.30078125,33203.3515625,30400,0.0,0.0
2024-05-03 00:00:00+05:30,33248.5,33305.0,32690.5,32908.3984375,31100,0.0,0.0
2024-05-06 00:00:00+05:30,33041.19921875,33435.3515625,32990.80078125,33217.1484375,18200,0.0,0.0
2024-05-07 00:00:00+05:30,33268.1484375,33525.5,32998.19921875,33473.0,22600,0.0,0.0
2024-05-08 00:00:00+05:30,33425.1484375,33489.6484375,33237.1015625,33335.1484375,21700,0.0,0.0
2024-05-09 00:00:00+05:30,33275.75,33454.75,33006.94921875,33205.8515625,22500,0.0,0.0
2024-05-10 00:00:00+05:30,33166.1015625,33178.3984375,32786.55078125,32935.1484375,20700,0.0,0.0
2024-05-13 00:00:00+05:30,32910.6484375,33108.25,32669.25,33074.6015625,13000,0.0,0.0
2024-05-14 00:00:00+05:30,33106.75,33321.6015625,32918.69921875,33122.8515625,12900,0.0,0.0
2024-05-15 00:00:00+05:30,33144.0,33292.3515625,32986.05078125,33117.3984375,13700,0.0,0.0
2024-05-16 00:00:00+05:30,33364.6484375,33705.19921875,33208.25,33668.44921875,32600,0.0,0.0
2024-05-17 00:00:00+05:30,33763.8515625,33766.69921875,33361.0,33381.8515625,20200,0.0,0.0
2024-05-21 00:00:00+05:30,33253.0,33453.6015625,33191.75,33379.75,21300,0.0,0.0
2024-05-22 00:00:00+05:30,33444.25,33724.3515625,33364.1484375,33613.1015625,18800,0.0,0.0
2024-05-23 00:00:00+05:30,33683.69921875,34098.05078125,33615.3515625,34042.8515625,25500,0.0,0.0
2024-05-24 00:00:00+05:30,34024.6484375,34088.19921875,33761.69921875,33824.30078125,15500,0.0,0.0
2024-05-27 00:00:00+05:30,33914.44921875,34227.05078125,33769.8984375,33995.25,35800,0.0,0.0
2024-05-28 00:00:00+05:30,34095.6484375,34136.25,33802.05078125,33880.8515625,21800,0.0,0.0
2024-05-29 00:00:00+05:30,33888.8984375,33888.8984375,33515.1484375,33542.69921875,20700,0.0,0.0
2024-05-30 00:00:00+05:30,33363.8984375,33433.25,32685.349609375,32806.75,31500,0.0,0.0
2024-05-31 00:00:00+05:30,32732.80078125,32816.8515625,32280.80078125,32386.099609375,76700,0.0,0.0
2024-06-03 00:00:00+05:30,33114.69921875,33143.55078125,32455.80078125,32511.400390625,26500,0.0,0.0
2024-06-04 00:00:00+05:30,32575.19921875,32594.349609375,31320.150390625,32315.55078125,37300,0.0,0.0
2024-06-05 00:00:00+05:30,32464.05078125,33319.6015625,32410.80078125,33087.94921875,26600,0.0,0.0
2024-06-06 00:00:00+05:30,33451.69921875,34093.1484375,33343.0,34023.80078125,35900,0.0,0.0
